celltype,size_factors,dca_split
Group1,1.6232442,0
Group1,1.0895375,0
Group3,1.1886929,0
Group6,1.0630902,0
Group5,0.82306916,0
Group5,0.88646567,0
Group6,1.100687,0
Group2,0.54203826,0
Group5,0.8061261,0
Group6,1.230823,0
Group4,0.9175163,0
Group6,0.9528202,0
Group1,1.1908283,0
Group3,0.8822124,0
Group4,1.1839671,0
Group1,0.70749575,0
Group1,0.77171487,0
Group2,0.77491796,0
Group4,0.98770404,0
Group5,0.96482736,0
Group1,1.3550256,0
Group2,1.0347526,0
Group1,1.3565834,0
Group1,1.4849867,0
Group2,0.9721087,0
Group5,1.0723668,0
Group4,0.84330285,0
Group1,1.1118541,0
Group4,0.8214589,0
Group1,0.78368706,1
Group6,1.0481775,0
Group6,1.0178095,0
Group4,1.0339999,0
Group6,1.0833589,0
Group2,0.8721831,0
Group6,0.94728917,0
Group2,1.4525883,0
Group3,0.9986785,0
Group1,0.79324377,0
Group5,0.8426727,0
Group4,0.82392687,0
Group4,0.83124316,0
Group2,0.74724543,0
Group1,0.56458235,0
Group4,1.1042051,0
Group1,1.053551,0
Group1,0.96668273,0
Group5,0.84496564,0
Group1,0.8618562,0
Group5,1.0940533,1
Group4,1.0704765,0
Group4,1.0966787,0
Group4,0.99517787,0
Group6,1.2182733,0
Group2,1.1015446,0
Group6,1.152934,0
Group6,1.1167374,1
Group3,1.4195598,0
Group3,0.8034656,0
Group5,1.3026911,0
Group6,0.9835558,0
Group1,0.9759594,0
Group6,1.0022142,0
Group5,0.93803,0
Group1,0.5943377,0
Group3,0.9118628,1
Group3,1.037798,0
Group6,0.7034875,0
Group6,1.1837395,0
Group3,0.9259353,1
Group2,1.3757143,1
Group2,1.0809784,0
Group3,0.85040915,0
Group4,1.018002,0
Group3,1.034035,0
Group6,1.2292303,0
Group2,1.031847,0
Group4,0.6605697,0
Group5,0.71652734,0
Group2,0.8699777,0
Group5,1.0749574,0
Group2,0.94961715,0
Group4,0.87792414,0
Group5,0.88286,0
Group6,0.9985735,0
Group5,0.8704328,0
Group3,0.9371899,0
Group2,0.7883779,0
Group2,0.7965519,0
Group3,1.2295103,0
Group6,0.7706297,0
Group2,0.9759244,0
Group3,0.9280182,0
Group1,0.8076489,0
Group1,1.0801908,0
Group6,1.0384632,0
Group3,1.2859756,0
Group5,1.0384457,0
Group6,0.9886667,0
Group5,1.7123003,1
Group5,0.83063054,0
Group3,0.8264998,0
Group3,0.89236426,0
Group4,0.95908636,0
Group1,1.1326128,0
Group1,1.1160372,0
Group6,0.9595589,0
Group6,0.8211963,0
Group5,1.2584606,0
Group2,1.2304031,1
Group5,0.8754387,0
Group1,1.1520764,1
Group6,1.1328229,0
Group4,1.2710629,0
Group5,0.99123967,0
Group5,0.80962676,0
Group2,1.1982147,0
Group4,0.8398372,0
Group5,1.1218659,0
Group6,1.4917954,0
Group4,0.75300395,1
Group4,1.3733164,0
Group5,1.3070143,0
Group5,0.8063536,0
Group6,1.0368004,1
Group4,0.86050844,0
Group1,0.907592,0
Group1,1.1429046,0
Group3,0.7814291,1
Group6,0.97002584,0
Group1,0.94265085,0
Group5,1.012611,0
Group5,1.075815,0
Group1,1.4075177,0
Group1,0.9199842,0
Group5,0.8403273,1
Group6,1.186225,0
Group2,1.1462127,0
Group6,1.0279614,0
Group5,1.0872271,0
Group2,0.7065331,0
Group2,1.2988054,0
Group4,1.1435523,0
Group6,1.2633439,0
Group6,0.83614403,0
Group6,0.70634055,0
Group3,0.8729007,0
Group1,0.8012427,0
Group3,1.5536691,0
Group2,0.9362097,0
Group6,1.0098981,0
Group3,1.3037238,0
Group6,1.1300223,0
Group4,1.0881197,0
Group6,1.7249726,0
Group6,1.0496652,0
Group3,1.4912878,0
Group2,0.9450488,0
Group2,0.77047217,0
Group6,0.6150965,0
Group1,1.1260841,0
Group5,0.8444406,0
Group5,1.0171969,0
Group3,1.5188903,0
Group5,1.0880322,0
Group3,0.96654266,0
Group4,0.68313134,0
Group3,0.8394346,0
Group2,0.89731765,0
Group3,1.2138975,0
Group6,1.1410143,0
Group4,0.99393517,0
Group4,1.0699339,0
Group4,0.9307662,0
Group4,0.9975583,0
Group2,1.0700915,0
Group6,1.1156347,0
Group5,1.486527,0
Group6,0.8215814,0
Group6,1.3428959,0
Group1,1.1491008,0
Group1,0.72554153,0
Group3,0.9473592,0
Group3,0.8876909,0
Group6,0.77661574,0
Group6,0.72233844,0
Group1,0.93981534,0
Group6,0.92056185,0
Group2,0.9441561,0
Group3,0.62104756,0
Group3,1.0756924,0
Group6,1.1072682,0
Group2,1.1773158,0
Group2,1.1586225,0
Group2,1.0302718,0
Group2,1.3963856,0
Group5,0.8226491,0
Group2,0.7773509,0
Group6,1.0484926,0
Group6,1.123056,0
Group1,0.7997199,0
Group5,1.0058023,0
Group1,1.0969414,0
Group4,1.0890999,0
Group2,1.1662713,0
Group4,1.2628714,0
Group1,0.64369667,0
Group4,1.450943,0
Group3,1.0933356,0
Group3,0.8953398,0
Group5,0.8143351,1
Group5,1.2568328,1
Group4,1.114182,1
Group2,1.1733077,0
Group4,0.9771846,0
Group1,0.9556207,0
Group5,1.6058285,0
Group4,0.6792631,0
Group5,1.120028,0
Group1,1.1023673,0
Group4,1.0983591,0
Group3,1.1668665,0
Group5,0.92106944,0
Group1,1.2351289,0
Group3,0.57802474,0
Group6,0.83491886,0
Group3,0.98500854,0
Group3,0.97925,0
Group2,1.0918128,0
Group3,1.1494334,0
Group4,0.7260491,0
Group2,1.0411587,1
Group3,1.1285696,0
Group2,1.3441912,1
Group1,0.96946573,0
Group6,1.4732245,0
Group2,0.94483876,0
Group1,1.0130136,0
Group5,1.0283464,0
Group4,0.90052074,1
Group2,1.2047958,0
Group5,0.7126242,0
Group2,1.0380431,0
Group3,0.85875815,0
Group5,0.87179804,0
Group4,1.3028312,0
Group2,1.2355665,0
Group2,1.2656718,1
Group4,0.9551481,0
Group1,1.0051897,0
Group4,0.72795695,0
Group3,0.9252177,1
Group3,1.4323021,0
Group5,0.89040387,0
Group2,0.79068834,1
Group6,0.9483394,0
Group2,1.2893187,1
Group5,0.7039776,0
Group5,0.990452,0
Group5,1.0807334,0
Group6,1.5136569,0
Group2,0.8960924,0
Group3,1.3482518,0
Group1,0.92224216,0
Group5,0.8269024,0
Group2,0.76266575,0
Group1,0.94111055,0
Group3,0.97995013,0
Group1,0.95462304,0
Group1,1.2520545,0
Group2,1.095261,1
Group6,0.91615105,0
Group4,0.84872884,0
Group2,0.7633834,0
Group1,0.65365595,0
Group4,0.95842123,1
Group3,1.0474774,0
Group4,1.3222597,0
Group4,1.0411762,0
Group4,1.2717805,0
Group4,1.0379907,0
Group2,0.82250905,1
Group3,1.067326,0
Group1,1.1126592,0
Group3,0.8589507,0
Group3,0.95819366,0
Group4,1.5400342,0
Group2,0.8297904,0
Group4,1.3172188,0
Group2,1.012296,0
Group1,1.3669628,0
Group6,0.8309456,0
Group3,0.9769571,0
Group4,1.0632652,0
Group3,1.0001663,0
Group2,1.1431847,0
Group6,0.9025861,0
Group5,1.3474642,1
Group2,1.0737321,0
Group2,1.1261541,0
Group4,0.7607754,0
Group4,0.8105719,0
Group2,1.1980046,0
Group3,0.9860062,0
Group1,0.9622544,0
Group1,0.9223472,0
Group4,1.1985997,1
Group2,0.9667177,1
Group3,1.0116833,0
Group3,0.7120991,0
Group2,1.4774953,0
Group1,1.202538,0
Group4,1.1893755,0
Group2,0.642699,0
Group3,1.0280838,0
Group1,0.9036538,0
Group3,0.719713,0
Group5,1.183512,0
Group1,1.2741259,0
Group1,0.9135431,0
Group4,0.9555857,0
Group4,1.3967707,0
Group2,0.7034,0
Group3,1.1469829,0
Group5,0.921437,1
Group1,0.98770404,0
Group4,0.8622763,0
