celltype,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42,Gene43,Gene44,Gene45,Gene46,Gene47,Gene48,Gene49,Gene50,Gene51,Gene52,Gene53,Gene54,Gene55,Gene56,Gene57,Gene58,Gene59,Gene60,Gene61,Gene62,Gene63,Gene64,Gene65,Gene66,Gene67,Gene68,Gene69,Gene70,Gene71,Gene72,Gene73,Gene74,Gene75,Gene76,Gene77,Gene78,Gene79,Gene80,Gene81,Gene82,Gene83,Gene84,Gene85,Gene86,Gene87,Gene88,Gene89,Gene90,Gene91,Gene92,Gene93,Gene94,Gene95,Gene96,Gene97,Gene98,Gene99,Gene100,Gene101,Gene102,Gene103,Gene104,Gene105,Gene106,Gene107,Gene108,Gene109,Gene110,Gene111,Gene112,Gene113,Gene114,Gene115,Gene116,Gene117,Gene118,Gene119,Gene120,Gene121,Gene122,Gene123,Gene124,Gene125,Gene126,Gene127,Gene128,Gene129,Gene130,Gene131,Gene132,Gene133,Gene134,Gene135,Gene136,Gene137,Gene138,Gene139,Gene140,Gene141,Gene142,Gene143,Gene144,Gene145,Gene146,Gene147,Gene148,Gene149,Gene150,Gene151,Gene152,Gene153,Gene154,Gene155,Gene156,Gene157,Gene158,Gene159,Gene160,Gene161,Gene162,Gene163,Gene164,Gene165,Gene166,Gene167,Gene168,Gene169,Gene170,Gene171,Gene172,Gene173,Gene174,Gene175,Gene177,Gene178,Gene179,Gene180,Gene181,Gene182,Gene183,Gene184,Gene185,Gene186,Gene187,Gene188,Gene189,Gene190,Gene191,Gene192,Gene193,Gene194,Gene195,Gene196,Gene197,Gene198,Gene199,Gene200
Group1,-1.042458,0.791133,-0.657105,0.456027,1.114303,0.375676,0.353906,-1.052576,0.133420,1.849352,0.128788,-0.059389,0.123344,0.387470,1.913592,0.550499,0.059576,-0.943740,0.650512,0.938013,0.821672,0.170620,0.499325,0.345178,0.279762,0.103852,0.331670,0.378628,0.544864,0.393577,-0.395977,0.433334,-1.549935,0.071166,1.398871,0.512552,0.605245,0.349084,0.563615,0.847740,0.338013,0.167244,1.527122,0.389439,0.381298,-0.478845,-0.186027,-0.878724,0.336062,-0.384383,0.029076,1.917066,0.727436,1.624026,0.165666,-1.608830,-2.146984,-1.213073,-0.022361,1.032596,0.352310,0.335227,1.066935,1.131546,0.170260,-1.581934,-0.226473,0.229000,-0.077404,-0.660036,0.537003,0.716316,0.527574,-1.050515,-0.234173,0.529519,-1.603236,0.546790,0.318510,-2.095910,0.183869,0.807623,-0.938265,0.363775,0.270339,1.011466,0.591224,-0.089564,0.268651,-0.216527,0.727926,1.259977,0.222893,-0.812499,-0.134756,-0.542909,1.156749,-0.031572,0.838021,0.104020,-0.274531,-2.271831,0.989822,-1.198409,-1.045588,-0.193578,0.605897,-0.656215,1.096197,0.260435,-0.106321,0.531911,0.469528,0.273834,0.278743,-3.940108,0.347143,-0.000589,0.428822,-1.195173,-0.190774,-0.753242,-0.393031,0.390764,0.802769,0.486542,0.587775,0.130207,0.361890,0.352941,-0.079084,0.378002,0.145257,0.440322,-0.237634,-1.918205,-0.051001,-1.316558,0.339038,0.428215,0.019408,-0.270289,0.626747,-0.251347,0.491514,0.452768,-0.042650,0.181122,0.597052,1.224607,0.788929,0.168814,0.258620,0.560158,0.069899,0.287426,0.790169,0.673673,0.479947,0.472539,0.352295,0.031773,0.332610,-0.410646,0.432561,0.194825,0.148096,0.932786,-0.781428,-0.236283,-0.133734,0.458276,0.148202,0.288815,0.985382,-0.760814,-1.949903,0.246365,-0.414466,-1.854998,0.501113,0.138164,0.771521,0.380936,1.216848,-0.696581,0.353681,-0.126015,0.401331,0.534492,0.372196,0.133677,-0.333834,-0.613705,0.301929,0.229670,0.179109,-0.500848,0.629448
Group1,1.055099,0.497854,-0.657105,-3.752337,-0.952367,0.459996,0.332561,1.030617,0.303557,-0.678395,-0.132413,-0.059389,-0.008337,0.049762,-0.312615,1.727483,0.349481,-0.943740,0.723171,0.958558,0.843827,-0.227727,-1.414608,0.493050,0.494519,0.284818,0.339744,0.117640,-1.532915,0.444124,-0.395977,0.231463,0.600066,0.423716,-0.775775,0.309126,0.814836,0.420025,0.469461,-0.886456,0.244021,0.458517,-0.834162,0.473783,0.364899,-0.020301,-0.186027,1.290717,0.162091,-0.384383,0.294703,-0.500714,0.886517,-0.527564,0.289432,0.483562,0.513349,0.765438,-0.022361,-0.742386,0.445225,0.371524,1.105908,0.560932,0.343910,0.778312,-0.226473,0.306788,0.223763,-0.660036,0.628299,1.091404,0.556694,-1.050515,-0.234173,0.718218,0.413904,-1.541514,0.405777,0.389676,0.255112,-1.069660,0.936447,0.384516,0.226764,1.319501,-2.614865,-0.089564,0.331759,-0.216527,0.443794,-0.627540,0.101277,1.529070,-5.765422,-0.542909,-0.944809,-0.031572,-0.888500,0.301248,-0.274531,0.437183,-1.109836,-1.198409,-1.045588,-0.193578,-2.161678,-0.656215,1.310169,0.275192,-0.106321,0.081715,0.663480,0.491143,0.338456,0.308090,0.351521,0.055035,0.461871,-1.195173,-0.190774,-0.753242,-0.393031,0.567273,1.118469,0.389779,0.505016,0.320907,-2.578745,0.282672,-0.079084,-2.440274,-2.874081,0.452325,-0.237634,0.305144,-0.051001,-1.316558,0.395511,0.331693,0.475852,-0.270289,0.319806,-0.251347,0.248362,0.849823,-0.042650,0.394512,-1.536346,-0.979751,0.732482,0.355891,0.268910,0.695707,0.136459,0.443879,-1.512969,0.809559,0.323141,0.527509,-2.692230,0.086255,0.644493,-0.410646,-1.270698,0.282402,-5.712724,-0.892813,-0.781428,1.565260,-0.133734,0.343780,0.272465,0.321223,0.826102,1.334592,0.483762,0.296141,-0.414466,0.366803,0.433670,0.155687,0.630299,0.539680,-0.859825,1.351017,-3.638408,0.242166,0.328307,0.687053,0.136963,0.241232,3.584657,-0.613705,-2.243151,0.188426,0.255034,1.953850,0.572521
Group3,0.907488,-1.601090,-0.657105,0.146728,-0.952367,0.391936,0.533112,0.941355,0.375799,-0.678395,-0.034352,-0.059389,0.225267,0.406263,-0.312615,-0.479108,0.010377,0.486650,0.312111,1.206662,0.892493,-0.094418,-1.414608,0.349700,0.084446,0.361601,-3.241203,0.322869,0.494402,0.315170,-0.395977,0.446250,-1.549935,0.473655,1.047806,0.483039,0.653465,-2.459928,0.514821,1.110215,0.346447,0.433082,-0.834162,0.598457,-2.486605,-0.158917,-0.186027,1.150698,-0.116099,-0.384383,0.335661,-0.500714,0.589761,-0.527564,0.723504,0.493525,0.473877,0.782645,-0.022361,-0.742386,0.696124,0.248023,0.680407,-0.952621,0.346354,0.536889,7.341156,0.460942,0.805610,0.485928,0.683448,1.343098,0.431536,1.089650,-0.234173,0.680453,0.791655,0.445012,0.499501,0.686607,-3.462725,-1.069660,-0.938265,-3.296587,-0.034610,0.148628,0.338062,-0.089564,-0.259892,-0.216527,0.688323,-0.627540,0.129836,1.136975,0.200510,-0.542909,0.835654,-0.031572,1.185465,0.196966,-0.274531,0.538416,-1.109836,-1.198409,1.042286,-0.193578,0.672704,1.460059,1.522029,0.756028,-0.106321,0.930234,-1.086084,0.248022,0.327897,0.367386,0.300560,0.322968,0.329214,1.087553,-0.190774,-0.753242,-0.393031,0.548067,-1.083999,0.338229,0.385305,0.041088,0.418973,-2.149789,-0.079084,0.500692,0.307080,0.565364,-0.237634,0.767855,-0.051001,1.077994,0.407478,0.533954,0.428239,-0.270289,0.707081,-0.251347,0.648369,-1.406995,-0.042650,-0.095030,-1.536346,-0.979751,0.935122,0.306695,-4.279666,0.888535,0.285114,0.449132,0.795645,0.494630,0.274680,0.640750,0.286918,0.184992,-2.295134,-0.410646,0.981281,-2.840671,-0.076216,1.393047,-0.781428,-0.236283,-0.133734,0.554089,-0.074269,-2.300695,0.613424,1.356480,0.540924,0.517894,-0.414466,0.615230,0.357147,0.202925,0.717873,0.018124,0.785810,-0.696581,0.190624,0.221757,-0.621783,-0.959922,0.396622,0.325608,-0.333834,-0.613705,0.506199,0.318217,0.046881,-0.500848,0.359463
Group6,-1.042458,-1.601090,-0.657105,0.505749,0.705104,0.287602,0.298421,-1.052576,0.347889,-0.678395,0.141791,-0.059389,0.212668,-4.007973,-0.312615,-0.479108,-0.271217,-0.943740,0.513542,0.923073,-1.220055,-0.048451,0.789557,0.292793,0.205187,0.437205,0.243488,0.336359,0.307612,-4.046593,3.313288,-2.643668,0.325672,-0.045049,0.759558,0.573608,0.659240,0.561638,0.121948,-0.886456,0.152290,0.349896,-0.834162,0.411180,0.435154,1.355002,-0.186027,1.017440,-0.199541,-0.384383,0.254138,1.339099,0.855952,2.214261,0.114117,-1.608830,-2.146984,-1.213073,-0.022361,-0.742386,-2.218024,0.127464,-1.071883,1.025698,0.217171,0.683061,-0.226473,0.196578,-0.223005,-0.660036,0.408255,-0.939833,0.457430,0.913786,-0.234173,0.509744,0.647733,-1.541514,0.358089,-2.095910,0.404190,-1.069660,1.431459,0.220504,0.124789,-1.054608,0.200447,-0.089564,0.111094,-0.216527,-1.743648,-0.627540,0.025111,-0.812499,-0.092833,-0.542909,0.827429,-0.031572,-0.888500,0.046863,-0.274531,0.316711,-1.109836,-1.198409,1.029076,-0.193578,0.397908,-0.656215,1.283208,0.267670,-0.106321,0.127241,-1.086084,0.399663,0.237200,0.035076,0.169176,-0.250146,0.231812,-1.195173,-0.190774,1.406708,-0.393031,0.496030,0.710604,-3.371048,0.304540,0.045921,0.418655,0.512400,-0.079084,0.401147,0.306057,0.291799,-0.237634,0.513591,-0.051001,-1.316558,-2.680053,0.386905,0.453072,-0.270289,0.451829,-0.251347,0.266805,1.026719,-0.042650,-5.317765,0.781649,0.684700,1.026272,0.324766,0.012417,0.609871,0.152555,0.227694,0.138592,-2.143411,-5.614746,0.604423,0.469822,-0.027476,0.460891,-0.410646,0.624286,0.501225,-0.019744,-0.892813,0.869075,-0.236283,-0.133734,0.488326,0.685600,0.515554,0.863203,1.088154,0.427204,-2.058335,-0.414466,0.629806,0.469191,0.110748,-1.185171,0.110633,-0.859825,1.636513,0.412244,-0.047360,0.218531,-0.959922,0.295077,0.210605,-0.333834,-0.613705,-2.243151,0.108169,0.158137,-0.500848,0.387880
Group5,1.102215,0.725917,-0.657105,0.548050,-0.952367,0.146888,0.303228,-1.052576,0.155019,-0.678395,-0.057520,-0.059389,0.289326,0.178284,-0.312615,-0.479108,0.121396,1.175951,0.448435,1.078089,0.597389,-0.040658,0.690194,0.384365,0.381256,-2.562571,0.265246,-2.849939,0.529479,0.098764,-0.395977,0.484690,-1.549935,0.228220,-0.775775,0.212706,0.516616,-2.459928,0.335293,0.556455,0.289648,0.490227,-0.834162,0.578224,-2.486605,-0.317828,-0.186027,-0.878724,0.087677,-0.384383,0.262692,-0.500714,0.362991,-0.527564,0.819411,0.940102,0.323203,-1.213073,-0.022361,-0.742386,0.515480,0.293076,-1.071883,-0.952621,-4.008560,0.570084,-0.226473,0.449330,0.203601,-0.660036,-1.836471,0.950949,0.446862,0.957645,-0.234173,-1.481792,-1.603236,0.723820,0.206421,0.483304,0.542794,1.153997,-0.938265,0.324986,0.177059,-1.054608,0.560045,-0.089564,0.262048,-0.216527,0.617449,-0.627540,0.385157,1.176771,-0.018851,-0.542909,-0.944809,-0.031572,-0.888500,0.428523,-0.274531,0.665423,0.694526,1.371480,0.917142,-0.193578,0.273842,-0.656215,1.298626,0.439806,-0.106321,0.230039,-1.086084,0.416366,0.074682,0.256990,0.234569,0.060348,0.342806,-1.195173,-0.190774,-0.753242,-0.393031,0.607355,-1.083999,0.171292,0.428487,0.149713,0.474051,0.552915,-0.079084,0.588303,0.393296,-2.355493,-0.237634,0.627351,-0.051001,0.652555,0.340551,0.428813,0.096095,-0.270289,0.708655,-0.251347,0.244113,0.698231,-0.042650,0.317000,0.666028,1.334156,0.713229,0.421644,0.222244,-1.815530,0.122110,0.459356,0.354916,-2.143411,0.188396,0.318558,0.269874,0.520415,0.312908,-0.410646,1.306159,0.303270,-0.170219,-0.892813,0.771654,5.176573,-0.133734,0.427095,0.000663,0.439992,0.849191,-0.760814,0.380551,-2.058335,-0.414466,0.580148,0.241025,-3.335134,1.074539,-0.088863,0.390227,1.923854,0.309845,0.086249,0.435456,0.760817,0.603102,0.194190,-0.333834,1.079707,0.498240,0.256921,0.261900,-0.500848,0.456059
Group5,-1.042458,0.573967,-0.657105,0.195188,-0.952367,0.312762,0.376768,1.255017,0.519927,1.872844,0.315473,-0.059389,0.207447,-0.032584,1.293691,1.034696,0.384950,-0.943740,0.599110,0.850604,-1.220055,0.371641,0.942662,0.505209,0.295934,0.360856,0.471142,0.311683,0.404426,0.130292,-0.395977,0.434347,-1.549935,0.136915,1.252544,0.414120,0.642392,0.404046,0.268552,0.686088,0.125722,0.233963,-0.834162,0.321386,0.682852,-0.262745,-0.186027,1.210914,-0.255074,-0.384383,0.370592,-0.500714,-1.301061,-0.527564,0.488710,-1.608830,0.217197,-1.213073,-0.022361,-0.742386,0.342781,0.094442,-1.071883,1.248471,0.392001,-1.581934,-0.226473,0.566297,-0.503596,-0.660036,-1.836471,-0.939833,0.374708,-1.050515,-0.234173,0.623953,0.736978,0.744976,0.387075,0.576727,0.252311,0.588292,-0.938265,0.086902,0.027132,1.269913,0.337828,-0.089564,0.229488,-0.216527,0.650063,0.943294,0.320853,-0.812499,0.264121,-0.542909,0.938799,-0.031572,-0.888500,0.144262,-0.274531,0.635620,-1.109836,0.789254,0.905073,-0.193578,0.298551,-0.656215,-0.932996,-2.504939,-0.106321,0.446255,0.928665,0.402510,0.182662,0.419933,0.404751,-0.083342,-0.049485,1.216094,-0.190774,-0.753242,-0.393031,0.319343,1.159551,0.037815,0.385525,0.221528,0.496024,-2.149789,-0.079084,0.399244,0.501228,0.118295,-0.237634,0.166964,-0.051001,-1.316558,0.391289,0.192878,0.399606,-0.270289,0.371034,-0.251347,-2.670272,-1.406995,-0.042650,0.318878,0.625499,-0.979751,0.816523,0.381479,0.055999,0.571540,0.308346,0.599052,0.763982,-2.143411,-0.003709,0.655502,0.112407,0.247379,0.308346,-0.410646,-1.270698,0.106301,0.127599,1.389627,-0.781428,-0.236283,-0.133734,0.527466,0.347618,0.547015,0.409040,1.386546,0.679551,0.135020,-0.414466,0.641973,0.476385,0.351605,0.721116,0.081440,1.374000,1.369115,0.296430,0.347790,0.013922,0.989286,0.429773,0.084415,-0.333834,-0.613705,0.389546,0.301135,0.196241,-0.500848,0.272055
Group6,0.756681,0.503743,1.143460,-3.752337,1.103848,0.303279,0.220846,0.689056,0.062650,1.505747,0.270497,-0.059389,-0.159814,0.256940,-0.312615,-0.479108,-0.533977,0.806366,0.657728,1.156904,0.822640,-0.087693,-1.414608,0.171519,0.289781,0.213577,0.419243,0.106642,0.433221,0.319623,-0.395977,0.475684,0.614561,0.090446,-0.775775,0.276191,0.448216,0.582333,0.454071,1.023769,-0.190873,0.334806,0.948065,0.308001,0.437318,1.322313,-0.186027,-0.878724,-0.318216,-0.384383,0.336216,-0.500714,0.813410,-0.527564,0.433165,0.607273,-2.146984,-1.213073,-0.022361,-0.742386,0.511018,0.089408,0.979893,-0.952621,0.084921,0.303515,-0.226473,-0.008962,-0.021674,1.356759,0.592134,1.176364,0.179670,-1.050515,-0.234173,0.636433,0.268315,0.691654,0.267533,0.326762,0.245849,0.592155,-0.938265,0.130368,-0.036213,1.008215,0.233094,-0.089564,0.130608,-0.216527,0.385191,-0.627540,0.095504,-0.812499,-0.380826,-0.542909,-0.944809,-0.031572,-0.888500,0.150597,-0.274531,-2.271831,0.028048,-1.198409,-1.045588,-0.193578,-2.161678,1.457617,0.390588,0.446464,-0.106321,0.141715,1.323016,0.095829,0.378955,-0.019501,-0.071372,0.074783,0.283178,0.527021,-0.190774,1.507153,-0.393031,0.504832,-1.083999,0.227850,-2.344731,-0.077323,0.207599,0.173292,-0.079084,0.252181,-0.205732,-2.355493,-0.237634,-1.918205,-0.051001,0.513059,0.248873,-2.544200,0.135820,-0.270289,0.459327,-0.251347,0.152290,0.885882,-0.042650,0.233463,0.853038,0.788349,0.741660,0.225897,-4.279666,0.518252,0.088571,0.163722,0.266956,0.567533,-0.078174,0.566852,0.388328,0.033871,0.365541,-0.410646,0.459764,0.260365,0.095965,-0.892813,1.648117,-0.236283,-0.133734,0.445970,0.459072,0.321206,0.512626,-0.760814,0.251595,0.077511,-0.414466,0.317954,0.237307,0.139117,-1.185171,0.008219,0.943211,-0.696581,0.263944,-0.170044,-0.051867,1.366782,0.101220,-0.021552,-0.333834,1.828820,0.372384,0.325394,0.106083,-0.500848,0.238687
Group2,-1.042458,0.651052,1.324474,0.111670,1.494845,0.239833,0.449942,0.995528,0.655368,-0.678395,0.214901,-0.059389,0.493762,0.467474,-0.312615,-0.479108,0.473379,0.253832,-1.892021,-1.043709,-1.220055,0.325765,1.056709,0.308644,0.133337,-2.562571,0.534451,0.588883,-1.532915,0.152851,3.285334,0.553364,-1.549935,0.322810,-0.775775,0.706073,-1.468773,0.065704,-2.278854,-0.886456,0.375259,0.898968,1.239828,0.143299,0.319810,-0.333435,-0.186027,-0.878724,-0.304379,-0.384383,0.468348,2.602870,-1.301061,-0.527564,0.247721,-1.608830,0.501853,-1.213073,-0.022361,-0.742386,0.511112,0.297695,0.839108,1.277232,0.080864,0.471743,-0.226473,0.351854,0.211471,1.606051,0.921028,-0.939833,0.509230,0.497614,-0.234173,-1.481792,0.661451,0.815420,-2.553761,0.663642,0.353981,-1.069660,-0.938265,0.562156,0.280773,-1.054608,0.367012,-0.089564,0.176050,-0.216527,0.556429,-0.627540,0.187399,1.046804,0.148468,1.139887,-0.944809,-0.031572,1.127222,0.316431,-0.274531,0.395172,-1.109836,-1.198409,1.098079,-0.193578,-2.161678,-0.656215,-0.932996,0.389314,-0.106321,0.147771,-1.086084,-3.041559,0.408298,0.376418,0.216027,0.025771,0.274413,-1.195173,-0.190774,1.055794,-0.393031,0.371373,-1.083999,0.168514,-2.344731,0.274006,0.476933,0.589085,-0.079084,0.441584,-2.874081,-2.355493,-0.237634,-1.918205,-0.051001,0.647053,0.249362,0.483638,0.205876,-0.270289,0.458903,-0.251347,0.526586,-1.406995,-0.042650,0.158757,0.296905,-0.979751,-1.303817,0.309046,0.239784,0.549364,0.008009,0.421491,-1.512969,0.416887,0.146894,0.523567,0.440756,0.134514,0.468202,-0.410646,0.629744,0.365545,0.445342,-0.892813,1.581739,2.656202,-0.133734,-0.368368,-4.397265,0.324112,0.710249,-0.760814,0.429038,0.381373,-0.414466,0.461410,0.676681,-3.335134,-1.185171,0.249135,-0.859825,-0.696581,0.054277,0.176417,0.122499,1.403280,0.661966,0.336666,-0.333834,-0.613705,0.496524,0.328031,0.318916,-0.500848,0.462882
Group5,0.993758,0.871346,-0.657105,-3.752337,1.320242,0.478106,0.293635,-1.052576,0.386265,-0.678395,-0.033868,-0.059389,0.124817,-0.173445,-0.312615,-0.479108,0.490610,1.544099,0.776629,-1.043709,0.429470,0.164105,0.701692,0.153039,0.371385,0.515942,0.413635,0.438519,-1.532915,-4.046593,-0.395977,0.516227,0.583111,0.271992,1.036028,0.342807,-1.468773,0.422528,0.562118,-0.886456,0.205298,0.297944,0.656686,0.404925,-2.486605,-0.129509,-0.186027,-0.878724,0.333309,-0.384383,0.212863,-0.500714,0.692059,2.309368,-2.278693,0.327837,0.466610,0.642584,-0.022361,-0.742386,-2.218024,0.234867,-1.071883,1.028654,0.381699,0.402050,-0.226473,0.437093,0.038470,-0.660036,-1.836471,-0.939833,0.370482,-1.050515,-0.234173,-1.481792,0.508548,0.947630,0.195052,-2.095910,0.071178,0.972951,1.163393,-3.296587,0.250359,1.450409,0.740050,-0.089564,0.421844,-0.216527,0.693671,1.671701,0.404159,-0.812499,0.421806,2.996902,-0.944809,-0.031572,-0.888500,0.380019,-0.274531,0.375330,0.666676,1.027534,1.197025,-0.193578,0.516105,-0.656215,1.390650,0.537589,-0.106321,0.348814,-1.086084,0.453015,0.467901,0.274803,-3.541870,-0.289738,0.306294,1.382974,-0.190774,-0.753242,2.149859,0.533986,-1.083999,0.294031,-2.344731,0.083591,0.179400,0.533806,-0.079084,0.566879,0.381892,0.293790,-0.237634,0.525591,-0.051001,0.585497,0.579738,-2.544200,0.229370,-0.270289,0.599968,-0.251347,0.585823,0.419553,-0.042650,-5.317765,0.545853,-0.979751,0.530421,0.255473,0.237933,0.568744,0.217330,0.219375,1.041473,0.282697,0.144922,0.701847,0.294520,0.138378,0.451423,-0.410646,1.311441,0.373137,0.065807,-0.892813,-0.781428,-0.236283,-0.133734,-2.419134,0.272594,0.625813,-1.342551,-0.760814,0.549454,0.174311,1.832388,0.568463,-2.319070,0.611751,0.802069,0.246086,1.244124,-0.696581,0.230308,0.403679,-0.036452,1.323084,0.282431,0.223526,-0.333834,-0.613705,0.673239,0.443812,0.093818,-0.500848,0.559345
Group6,0.843974,0.590677,-0.657105,0.115608,-0.952367,0.338006,0.298998,-1.052576,-0.043680,0.674243,-0.183058,-0.059389,-0.006914,0.049858,-0.312615,-0.479108,-0.772228,-0.943740,0.393325,-1.043709,-1.220055,-0.333257,-1.414608,0.375542,0.273955,0.376906,0.223275,0.134731,0.627600,0.336400,-0.395977,0.288012,-1.549935,0.056977,1.807811,0.438565,0.804882,0.360849,-2.278854,-0.886456,-0.006619,0.325587,-0.834162,-0.039680,-2.486605,1.143462,-0.186027,-0.878724,0.209056,-0.384383,-0.008428,-0.500714,-1.301061,-0.527564,0.257853,0.674149,0.458978,0.836154,-0.022361,1.465528,0.347425,0.156083,1.120504,-0.952621,0.244066,0.469427,-0.226473,0.114337,-0.009981,-0.660036,0.388575,-0.939833,-2.474804,-1.050515,-0.234173,0.383012,0.384956,0.639858,0.475171,0.165872,0.231940,0.446471,-0.938265,0.173963,0.017044,1.245273,0.185122,-0.089564,0.200113,-0.216527,-1.743648,-0.627540,0.110397,1.199661,0.373376,-0.542909,-0.944809,-0.031572,-0.888500,0.053706,-0.274531,0.333063,-1.109836,-1.198409,-1.045588,-0.193578,0.308368,-0.656215,-0.932996,0.316714,-0.106321,0.158799,1.149163,0.191185,0.262663,0.002987,0.331989,-0.011227,0.223597,-1.195173,-0.190774,-0.753242,-0.393031,0.560608,-1.083999,0.340277,0.568603,-0.001480,0.289623,0.504459,-0.079084,0.406613,-2.874081,0.426293,1.398671,0.203780,-0.051001,0.629193,-0.037109,-2.544200,-0.068585,-0.270289,0.775543,-0.251347,0.281948,0.774816,-0.042650,0.260829,0.898768,-0.979751,-1.303817,0.218426,0.010828,0.568556,-0.041869,-2.609251,0.692616,0.366946,0.343094,-1.918609,0.403491,-0.084389,0.376705,-0.410646,0.259444,-2.840671,0.030827,1.047103,-0.781428,-0.236283,-0.133734,0.472576,0.356969,0.134817,0.668171,1.046969,0.166971,0.317530,-0.414466,0.673132,0.231844,0.038167,0.610535,-0.154932,1.379604,-0.696581,0.411760,0.233198,-0.042846,-0.959922,0.267930,0.018702,3.604295,-0.613705,0.424628,0.367550,0.009662,-0.500848,-2.153535
