celltype,size_factors,dca_split
Group1,0.8905264,0
Group1,1.1010021,0
Group1,0.8457883,0
Group1,0.75881505,0
Group1,1.0687612,0
Group1,0.9609417,0
Group1,0.8988229,0
Group1,1.0576117,0
Group1,0.7306699,0
Group1,0.8038682,0
Group1,1.1779985,1
Group1,1.6505141,0
Group1,1.0906577,0
Group1,0.90358377,1
Group1,0.88511795,0
Group1,0.7786111,0
Group1,1.0483525,0
Group1,0.92478013,0
Group1,1.0144664,0
Group1,1.277364,0
Group1,1.5630333,0
Group1,1.304529,0
Group1,1.0546012,0
Group1,0.6376756,0
Group1,0.8838227,0
Group1,1.0106682,1
Group1,1.221844,0
Group1,0.9193366,0
Group1,0.8501466,0
Group1,1.2538573,0
Group1,1.0728569,0
Group1,0.8982628,1
Group1,1.064718,0
Group1,1.1468779,0
Group1,0.67793286,0
Group1,0.7431497,0
Group1,1.3075219,0
Group1,1.1690193,0
Group1,0.7186978,0
Group1,0.7295672,1
Group1,1.0518881,0
Group1,0.9912047,0
Group1,0.6367654,0
Group1,1.0627052,0
Group1,0.6945959,0
Group1,1.288181,0
Group1,1.0374831,0
Group1,0.99067956,0
Group1,1.2251695,0
Group1,1.2204962,1
Group1,1.37918,0
Group1,1.4082878,0
Group1,1.1153371,0
Group1,0.87648886,0
Group1,0.821984,0
Group3,1.0227103,0
Group3,0.92157704,0
Group3,0.87680393,0
Group3,0.7560495,0
Group3,1.370726,0
Group3,1.1620531,0
Group3,1.0046645,0
Group3,0.924395,0
Group3,0.984711,0
Group3,0.959874,0
Group3,1.0796481,0
Group3,0.9291384,0
Group3,0.9444712,0
Group3,1.2323809,0
Group3,1.0138713,0
Group3,1.3396928,0
Group3,0.98950684,0
Group3,1.0639129,0
Group3,0.62304294,0
Group3,0.9147333,0
Group3,1.1557695,0
Group3,0.9841159,0
Group3,0.9507548,0
Group3,1.1682492,0
Group3,0.7270993,1
Group3,1.0779679,0
Group3,0.6841115,0
Group3,1.1267667,0
Group3,0.7972695,0
Group3,0.96628016,0
Group3,1.2141601,0
Group3,0.9776572,0
Group3,0.99206233,0
Group3,0.5616243,0
Group3,1.0498577,1
Group3,1.0476348,0
Group3,1.086527,0
Group3,1.1135168,0
Group3,1.0035619,0
Group3,0.85594016,0
Group3,1.03456,0
Group3,1.222509,0
Group3,1.4912703,0
Group3,0.9093248,0
Group3,0.7327703,0
Group3,0.9440336,0
Group3,1.0717717,0
Group3,1.006975,0
Group3,1.1523913,0
Group3,1.2667221,0
Group3,0.65426856,0
Group3,1.0819411,0
Group3,0.89596987,0
Group6,1.0457796,0
Group6,1.1622456,0
Group6,0.8307006,1
Group6,0.6427865,0
Group6,1.0771803,0
Group6,0.8423402,0
Group6,1.1428171,0
Group6,1.0515556,0
Group6,0.90246356,0
Group6,1.0041745,0
Group6,0.98019516,0
Group6,0.8807246,0
Group6,1.0938083,1
Group6,0.8804971,0
Group6,0.9318514,0
Group6,1.0905876,0
Group6,1.0423139,0
Group6,0.7531615,0
Group6,0.75676715,0
Group6,1.144375,0
Group6,1.2455783,0
Group6,0.87949944,0
Group6,0.9063493,0
Group6,0.54695666,0
Group6,0.71376187,0
Group6,0.9880016,0
Group6,1.5990198,0
Group6,0.73243773,0
Group6,1.1648362,0
Group6,1.4901851,1
Group6,0.89203167,0
Group6,0.84785366,1
Group6,1.1825318,0
Group6,1.012156,1
Group6,1.0753424,0
Group6,1.2817574,0
Group6,1.0282763,0
Group6,0.8949722,0
Group6,1.3864263,0
Group6,0.74894327,0
Group6,0.8192885,0
Group6,2.0810921,0
Group6,1.1302674,0
Group6,1.075815,0
Group6,1.1186978,0
Group6,1.3552706,0
Group6,0.8508817,0
Group6,0.6454645,0
Group6,0.9150659,0
Group6,0.93508947,0
Group6,0.9341968,0
Group6,0.82772505,0
Group6,1.1860499,0
Group6,0.82576466,0
Group6,0.98779154,0
Group6,1.0706866,0
Group6,1.1716623,0
Group5,1.1231786,1
Group5,1.0178795,0
Group5,1.2904564,0
Group5,1.1490133,0
Group5,1.0495602,0
Group5,1.0070275,0
Group5,0.99015445,0
Group5,1.2263073,0
Group5,0.82392687,0
Group5,1.2553276,0
Group5,1.136341,0
Group5,0.836039,0
Group5,0.8685249,0
Group5,1.1263292,0
