celltype,size_factors,dca_split
Group5,1.3326391,0
Group5,0.995948,0
Group5,0.7186978,0
Group5,1.1664989,0
Group5,0.8976327,0
Group5,1.1550343,0
Group5,0.68619436,0
Group5,0.98502606,1
Group5,0.89308184,0
Group5,1.2792369,0
Group5,0.9449438,0
Group5,1.1656588,0
Group5,1.0469347,0
Group5,1.263519,0
Group5,1.0742397,0
Group5,0.85805804,0
Group5,1.0157967,0
Group5,0.99116963,0
Group5,0.97363144,0
Group5,0.7002319,1
Group5,1.6835601,0
Group5,0.9332517,0
Group5,1.2458059,1
Group5,1.1437973,0
Group5,1.1398766,0
Group5,0.93155384,0
Group5,0.7967969,0
Group5,1.1029799,0
Group5,0.70354,0
Group5,1.0449744,1
Group5,0.9671378,0
Group5,1.133628,0
Group5,1.494911,0
Group5,1.3481994,0
Group5,0.73425806,0
Group5,0.80642366,0
Group5,1.043189,0
Group5,1.2334485,0
Group5,1.1348007,0
Group5,0.81853586,0
Group5,1.2451407,0
Group5,1.2777841,0
Group5,1.3198792,0
Group5,1.0021092,0
Group5,1.0169693,0
Group5,1.1207981,0
Group5,1.1742878,0
Group5,1.0534284,1
Group5,1.0118059,0
Group5,0.8256071,0
Group5,0.67627007,0
Group5,1.30992,0
Group5,1.2033956,0
Group5,1.1112764,0
Group5,1.1552619,0
Group5,1.3519975,0
Group5,1.0433991,0
Group5,0.99323505,0
Group5,1.1177001,0
Group5,0.8755787,0
Group5,0.88706076,1
Group5,0.92682797,0
Group5,1.321367,0
Group5,0.8419201,0
Group5,1.0714742,0
Group5,1.147543,0
Group5,0.83927715,0
Group5,1.0820462,0
Group5,0.866442,0
Group5,0.7743754,0
Group5,0.56944823,0
Group5,0.8049709,0
Group5,1.3920099,0
Group5,0.6146414,0
Group5,1.5921061,0
Group5,1.1716974,0
Group5,0.9268805,0
Group5,1.0735571,0
Group5,0.87519366,0
Group5,0.81508774,0
Group5,1.070109,0
Group5,1.1377412,0
Group5,0.7887105,0
Group5,1.0815561,0
Group5,1.1030674,0
Group5,1.0581018,0
Group5,0.89686257,0
Group5,1.0896075,1
Group5,0.7492233,0
Group5,0.70145714,1
Group5,1.5538967,0
Group5,0.8431453,0
Group5,1.4640878,0
Group5,1.0223778,0
Group5,1.0105631,1
Group5,1.0898175,0
Group5,0.9485144,0
Group5,0.55089486,0
Group5,0.93328667,0
Group5,0.7716449,0
Group5,1.128272,0
Group5,0.9588588,0
Group5,0.97132105,0
Group2,1.0691988,0
Group2,1.0737497,0
Group2,1.3012733,0
Group2,0.7416619,0
Group2,1.1881329,0
Group2,0.777806,0
Group2,0.9312913,1
Group2,0.8141426,0
Group2,0.82294667,0
Group2,0.8091366,0
Group2,1.2083665,0
Group2,1.2287577,0
Group2,0.8049359,1
Group2,1.40743,0
Group2,1.0187721,0
Group2,0.78480726,1
Group2,1.1345557,0
Group2,0.7602853,0
Group2,0.9710585,0
Group2,0.8294578,0
Group2,0.9552006,0
Group2,0.8283376,0
Group2,0.8037632,0
Group2,0.8128473,0
Group2,0.78587496,0
Group2,1.0211176,1
Group2,1.3141557,0
Group2,1.1799239,0
Group2,1.2410799,0
Group2,0.8804971,0
Group2,0.99517787,0
Group2,1.0225879,0
Group2,1.3135955,1
Group2,1.2168555,0
Group2,0.94107556,0
Group2,0.937855,0
Group2,1.4743972,0
Group2,1.1806065,0
Group2,1.020435,0
Group2,1.0633178,0
Group2,1.3939701,0
Group2,1.4165318,0
Group2,1.0798408,1
Group2,1.3556732,0
Group2,0.7012996,0
Group2,0.8661445,0
Group2,0.9637247,0
Group2,1.0876297,0
Group2,0.6379206,0
Group2,0.9502472,0
Group2,0.88902116,0
Group2,0.79105586,1
Group2,0.87955195,0
Group2,1.0040694,1
Group2,0.9999738,0
Group2,1.1096311,0
Group2,0.7120116,0
Group2,1.2894763,0
Group2,0.8550125,1
Group2,0.97995013,0
Group2,0.92985606,0
Group2,0.9285608,0
Group2,0.79327875,0
Group2,1.025826,0
Group2,0.9509299,0
Group2,1.1073908,0
Group2,1.1261191,0
Group2,1.3564608,0
Group2,0.9783223,0
Group2,1.1343281,0
Group2,1.4189122,0
Group2,0.846716,0
Group2,0.9543255,0
Group2,1.368433,0
Group2,0.9864963,0
Group2,0.8439855,0
Group2,1.2291253,0
Group2,0.8158929,0
Group2,1.2767164,0
Group2,1.1999475,0
Group2,0.7967094,0
Group2,1.2987179,0
Group2,1.3250077,1
Group2,1.097729,0
Group2,1.0835865,0
Group2,1.1478056,1
Group2,1.1847898,0
Group2,0.6824137,0
Group2,0.935072,0
Group2,0.7922111,1
Group2,0.8250995,0
Group2,0.7991073,0
Group2,0.98635626,1
Group2,1.1068131,0
Group2,0.7161773,0
Group2,1.026351,0
