celltype,size_factors,dca_split
Group3,1.1886929,0
Group3,0.8822124,0
Group3,0.9986785,0
Group3,1.4195598,0
Group3,0.8034656,0
Group3,0.9118628,1
Group3,1.037798,0
Group3,0.9259353,1
Group3,0.85040915,0
Group3,1.034035,0
Group3,0.9371899,0
Group3,1.2295103,0
Group3,0.9280182,0
Group3,1.2859756,0
Group3,0.8264998,0
Group3,0.89236426,0
Group3,0.7814291,1
Group3,0.8729007,0
Group3,1.5536691,0
Group3,1.3037238,0
Group3,1.4912878,0
Group3,1.5188903,0
Group3,0.96654266,0
Group3,0.8394346,0
Group3,1.2138975,0
Group3,0.9473592,0
Group3,0.8876909,0
Group3,0.62104756,0
Group3,1.0756924,0
Group3,1.0933356,0
Group3,0.8953398,0
Group3,1.1668665,0
Group3,0.57802474,0
Group3,0.98500854,0
Group3,0.97925,0
Group3,1.1494334,0
Group3,1.1285696,0
Group3,0.85875815,0
Group3,0.9252177,1
Group3,1.4323021,0
Group3,1.3482518,0
Group3,0.97995013,0
Group3,1.0474774,0
Group3,1.067326,0
Group3,0.8589507,0
Group3,0.95819366,0
Group3,0.9769571,0
Group3,1.0001663,0
Group3,0.9860062,0
Group3,1.0116833,0
Group3,0.7120991,0
Group3,1.0280838,0
Group3,0.719713,0
Group3,1.1469829,0
Group3,0.8977727,0
Group3,0.8728132,0
Group3,1.315836,0
Group3,0.66267014,0
Group3,0.98289067,0
Group3,0.96750534,0
Group3,1.2541373,1
Group3,0.7718724,0
Group3,0.9742616,1
Group3,0.93039864,0
Group3,1.0639304,0
Group3,0.97461164,0
Group3,1.2601234,0
Group3,1.6472411,0
Group3,0.9075745,0
Group3,0.7845797,0
Group3,1.313123,0
Group3,0.93776745,0
Group3,0.9302236,1
Group3,1.1964818,0
Group3,0.7691244,0
Group3,1.3275981,0
Group3,0.9864438,0
Group3,0.9410931,0
Group3,0.65033036,0
Group3,1.1565921,0
Group3,1.2320833,0
Group3,0.7603203,0
Group3,1.1542118,1
Group3,0.92520016,0
Group3,0.9825581,0
Group3,0.84053737,0
Group3,1.2076313,0
Group3,0.5754168,0
Group3,1.0364853,0
Group3,0.9792675,0
Group3,0.96817046,0
Group3,1.078318,0
Group3,1.4244082,0
Group3,0.7338205,0
Group3,0.95600575,0
Group3,0.84956896,0
Group3,0.82679737,1
Group3,1.1379513,0
Group3,1.4565965,0
Group3,0.95196253,0
Group3,0.77087474,1
Group3,1.1585699,0
Group3,0.70926356,0
Group3,1.0279088,0
Group3,0.90024066,0
Group3,0.9613267,0
Group3,1.1407343,0
Group3,1.3094648,0
Group3,1.0255284,0
Group3,1.1251739,0
Group3,0.9673128,0
Group3,0.86157614,0
Group3,0.9501597,0
Group3,0.99670064,0
Group3,1.246786,0
Group3,0.74771804,1
Group3,1.0776353,0
Group3,0.6827813,0
Group3,1.5362885,0
Group3,1.2508467,0
Group3,0.9274231,0
Group3,0.9663852,0
Group3,0.8358465,0
Group3,0.8169256,0
Group3,0.8532096,0
Group3,1.2946397,0
Group3,1.0603247,1
Group3,1.0967662,0
Group3,0.87314576,0
Group3,0.99277997,0
Group3,0.860631,1
Group3,1.2582681,1
Group3,1.5112764,0
Group3,1.1493284,0
Group3,0.7844572,0
Group3,1.0129961,0
Group3,0.9340393,0
Group3,1.0707566,0
Group3,1.2878485,0
Group3,0.90951735,0
Group3,1.1431673,0
Group3,1.4471973,1
Group3,0.97916245,0
Group3,0.82949287,0
Group3,0.7553669,0
Group3,0.6608323,1
Group3,0.89945304,0
Group3,1.001444,1
Group3,0.6548987,0
Group3,1.0083928,0
Group3,0.99509037,1
Group3,1.0077977,0
Group3,1.0679561,0
Group3,1.0700389,0
Group3,0.88585305,0
Group3,1.0322846,0
Group3,1.0826237,0
Group3,0.76312083,0
Group3,0.86820984,0
Group3,0.85215944,0
Group3,1.0056797,0
Group3,1.387424,0
Group3,0.90734696,0
Group3,1.1680567,0
Group3,0.95595324,0
Group3,0.91763884,0
Group3,1.2091892,0
Group3,1.6526146,1
Group3,1.1508511,0
Group3,0.9942327,0
Group3,0.9844309,0
Group3,1.0155691,0
Group3,0.7232836,0
Group3,0.60328186,0
Group3,1.5740778,0
Group3,1.191721,0
Group3,1.2452457,0
Group3,1.1209031,0
Group3,1.0136262,0
Group3,1.0259135,0
Group3,0.88422525,0
Group3,0.7775259,0
Group3,1.1416969,0
Group3,0.9886842,0
Group3,1.1601977,1
Group3,0.6542336,0
Group3,0.81612045,1
Group3,0.7117315,0
Group3,1.0774252,0
Group3,0.9573185,0
Group3,0.9313088,0
Group3,1.1600578,0
Group3,1.2974402,0
Group3,0.82270163,0
Group3,1.0367129,1
Group3,0.7617906,0
Group3,0.7454076,0
Group3,1.3526627,0
Group3,0.7071457,0
Group3,0.943456,1
Group3,1.2423577,0
Group3,1.0423839,0
Group3,1.0139588,0
Group3,1.0001312,0
Group3,0.8958124,0
Group3,1.0672034,0
Group3,1.0421739,0
Group3,1.200315,0
